x (m),y (m),z (m)
90.46,-16.12,18.805983
90.46,-16.12,20.2
91.37,16.12,20.2
91.37,16.12,18.805983
91.37,16.12,17.411966
91.37,16.12,16.017949
91.37,16.12,14.623932
91.37,16.12,13.229915
91.37,16.12,11.835898
91.37,16.12,10.441881
91.37,16.12,9.047864
91.37,16.12,7.653847
91.37,16.12,6.25983
91.37,16.12,4.865813
91.37,16.12,3.471796
91.37,16.12,2.0777791
91.37,15.784843,0.75394307
91.37,14.63554,0.027872807
91.37,13.243161,0
91.37,11.849144,0
91.37,10.455127,0
91.37,9.0611105,0
91.37,7.6670935,0
91.37,6.2730765,0
91.37,4.8790595,0
91.37,3.4850425,0
91.37,2.0910255,0
91.37,0.6970085,0
91.37,-0.6970085,0
91.37,-2.0910255,0
91.37,-3.4850425,0
91.37,-4.8790595,0
91.37,-6.2730765,0
91.37,-7.6670935,0
91.37,-9.0611105,0
91.37,-10.455127,0
91.37,-11.849144,0
91.37,-13.243161,0
91.37,-14.63554,0.027872806
91.37,-15.784843,0.75394306
91.37,-16.12,2.0777791
91.37,-16.12,3.471796
91.37,-16.12,4.865813
91.37,-16.12,6.25983
91.37,-16.12,7.653847
91.37,-16.12,9.047864
91.37,-16.12,10.441881
91.37,-16.12,11.835898
91.37,-16.12,13.229915
91.37,-16.12,14.623932
91.37,-16.12,16.017949
91.37,-16.12,17.411966
91.37,-16.12,18.805983
91.37,-16.12,20.2
92.28,16.12,20.2
92.28,16.12,18.805983
92.28,16.12,17.411966
92.28,16.12,16.017949
92.28,16.12,14.623932
92.28,16.12,13.229915
92.28,16.12,11.835898
92.28,16.12,10.441881
92.28,16.12,9.047864
92.28,16.12,7.653847
92.28,16.12,6.25983
92.28,16.12,4.865813
92.28,16.12,3.471796
92.28,16.12,2.0777791
92.28,15.784843,0.75394307
92.28,14.63554,0.027872807
92.28,13.243161,0
92.28,11.849144,0
92.28,10.455127,0
92.28,9.0611105,0
92.28,7.6670935,0
92.28,6.2730765,0
92.28,4.8790595,0
92.28,3.4850425,0
92.28,2.0910255,0
92.28,0.6970085,0
92.28,-0.6970085,0
92.28,-2.0910255,0
92.28,-3.4850425,0
92.28,-4.8790595,0
92.28,-6.2730765,0
92.28,-7.6670935,0
92.28,-9.0611105,0
92.28,-10.455127,0
92.28,-11.849144,0
92.28,-13.243161,0
92.28,-14.63554,0.027872806
92.28,-15.784843,0.75394306
92.28,-16.12,2.0777791
92.28,-16.12,3.471796
92.28,-16.12,4.865813
92.28,-16.12,6.25983
92.28,-16.12,7.653847
92.28,-16.12,9.047864
92.28,-16.12,10.441881
92.28,-16.12,11.835898
92.28,-16.12,13.229915
92.28,-16.12,14.623932
92.28,-16.12,16.017949
92.28,-16.12,17.411966
92.28,-16.12,18.805983
92.28,-16.12,20.2
93.19,16.12,20.2
93.19,16.12,18.805983
93.19,16.12,17.411966
93.19,16.12,16.017949
93.19,16.12,14.623932
93.19,16.12,13.229915
93.19,16.12,11.835898
93.19,16.12,10.441881
93.19,16.12,9.047864
93.19,16.12,7.653847
93.19,16.12,6.25983
93.19,16.12,4.865813
93.19,16.12,3.471796
93.19,16.12,2.0777791
93.19,15.784843,0.75394307
93.19,14.63554,0.027872807
93.19,13.243161,0
93.19,11.849144,0
93.19,10.455127,0
93.19,9.0611105,0
93.19,7.6670935,0
93.19,6.2730765,0
93.19,4.8790595,0
93.19,3.4850425,0
93.19,2.0910255,0
93.19,0.6970085,0
93.19,-0.6970085,0
93.19,-2.0910255,0
93.19,-3.4850425,0
93.19,-4.8790595,0
93.19,-6.2730765,0
93.19,-7.6670935,0
93.19,-9.0611105,0
93.19,-10.455127,0
93.19,-11.849144,0
93.19,-13.243161,0
93.19,-14.63554,0.027872806
93.19,-15.784843,0.75394306
93.19,-16.12,2.0777791
93.19,-16.12,3.471796
93.19,-16.12,4.865813
93.19,-16.12,6.25983
93.19,-16.12,7.653847
93.19,-16.12,9.047864
93.19,-16.12,10.441881
93.19,-16.12,11.835898
93.19,-16.12,13.229915
93.19,-16.12,14.623932
93.19,-16.12,16.017949
93.19,-16.12,17.411966
93.19,-16.12,18.805983
93.19,-16.12,20.2
94.1,16.12,20.2
94.1,16.12,18.805983
94.1,16.12,17.411966
94.1,16.12,16.017949
94.1,16.12,14.623932
94.1,16.12,13.229915
94.1,16.12,11.835898
94.1,16.12,10.441881
94.1,16.12,9.047864
94.1,16.12,7.653847
94.1,16.12,6.25983
94.1,16.12,4.865813
94.1,16.12,3.471796
94.1,16.12,2.0777791
94.1,15.784843,0.75394307
94.1,14.63554,0.027872807
94.1,13.243161,0
94.1,11.849144,0
94.1,10.455127,0
94.1,9.0611105,0
94.1,7.6670935,0
94.1,6.2730765,0
94.1,4.8790595,0
94.1,3.4850425,0
94.1,2.0910255,0
94.1,0.6970085,0
94.1,-0.6970085,0
94.1,-2.0910255,0
94.1,-3.4850425,0
94.1,-4.8790595,0
94.1,-6.2730765,0
94.1,-7.6670935,0
94.1,-9.0611105,0
94.1,-10.455127,0
94.1,-11.849144,0
94.1,-13.243161,0
94.1,-14.63554,0.027872806
94.1,-15.784843,0.75394306
94.1,-16.12,2.0777791
94.1,-16.12,3.471796
94.1,-16.12,4.865813
94.1,-16.12,6.25983
94.1,-16.12,7.653847
94.1,-16.12,9.047864
94.1,-16.12,10.441881
94.1,-16.12,11.835898
94.1,-16.12,13.229915
94.1,-16.12,14.623932
94.1,-16.12,16.017949
94.1,-16.12,17.411966
94.1,-16.12,18.805983
94.1,-16.12,20.2
95.01,16.12,20.2
95.01,16.12,18.805983
95.01,16.12,17.411966
95.01,16.12,16.017949
95.01,16.12,14.623932
95.01,16.12,13.229915
95.01,16.12,11.835898
95.01,16.12,10.441881
95.01,16.12,9.047864
95.01,16.12,7.653847
95.01,16.12,6.25983
95.01,16.12,4.865813
95.01,16.12,3.471796
95.01,16.12,2.0777791
95.01,15.784843,0.75394307
95.01,14.63554,0.027872807
95.01,13.243161,0
95.01,11.849144,0
95.01,10.455127,0
95.01,9.0611105,0
95.01,7.6670935,0
95.01,6.2730765,0
95.01,4.8790595,0
95.01,3.4850425,0
95.01,2.0910255,0
95.01,0.6970085,0
95.01,-0.6970085,0
95.01,-2.0910255,0
95.01,-3.4850425,0
95.01,-4.8790595,0
95.01,-6.2730765,0
95.01,-7.6670935,0
95.01,-9.0611105,0
95.01,-10.455127,0
95.01,-11.849144,0
95.01,-13.243161,0
95.01,-14.63554,0.027872806
95.01,-15.784843,0.75394306
95.01,-16.12,2.0777791
95.01,-16.12,3.471796
95.01,-16.12,4.865813
95.01,-16.12,6.25983
95.01,-16.12,7.653847
95.01,-16.12,9.047864
95.01,-16.12,10.441881
95.01,-16.12,11.835898
95.01,-16.12,13.229915
95.01,-16.12,14.623932
95.01,-16.12,16.017949
95.01,-16.12,17.411966
95.01,-16.12,18.805983
95.01,-16.12,20.2
95.92,16.12,20.2
95.92,16.12,18.805983
95.92,16.12,17.411966
95.92,16.12,16.017949
95.92,16.12,14.623932
95.92,16.12,13.229915
95.92,16.12,11.835898
95.92,16.12,10.441881
95.92,16.12,9.047864
95.92,16.12,7.653847
95.92,16.12,6.25983
95.92,16.12,4.865813
95.92,16.12,3.471796
95.92,16.12,2.0777791
95.92,15.784843,0.75394307
95.92,14.63554,0.027872807
95.92,13.243161,0
95.92,11.849144,0
95.92,10.455127,0
95.92,9.0611105,0
95.92,7.6670935,0
95.92,6.2730765,0
95.92,4.8790595,0
