x (m),y (m),z (m)
97.822731,-7.9333334,1.74
96.830002,-7.9333334,1.74
95.837273,-7.9333334,1.74
94.844543,-7.9333334,1.74
93.851822,-7.9333334,1.74
92.859093,-7.9333334,1.74
91.866364,-7.9333334,1.74
90.873634,-7.9333334,1.74
89.880913,-7.9333334,1.74
88.888184,-7.9333334,1.74
87.895454,-7.9333334,1.74
86.902725,-7.9333334,1.74
106.75727,-8.9250002,1.74
105.76455,-8.9250002,1.74
104.77182,-8.9250002,1.74
103.77909,-8.9250002,1.74
102.78636,-8.9250002,1.74
101.79364,-8.9250002,1.74
100.80091,-8.9250002,1.74
99.808182,-8.9250002,1.74
98.815453,-8.9250002,1.74
97.822731,-8.9250002,1.74
96.830002,-8.9250002,1.74
95.837273,-8.9250002,1.74
94.844543,-8.9250002,1.74
93.851822,-8.9250002,1.74
92.859093,-8.9250002,1.74
91.866364,-8.9250002,1.74
90.873634,-8.9250002,1.74
89.880913,-8.9250002,1.74
88.888184,-8.9250002,1.74
87.895454,-8.9250002,1.74
86.902725,-8.9250002,1.74
106.75727,-9.916667,1.74
105.76455,-9.916667,1.74
104.77182,-9.916667,1.74
103.77909,-9.916667,1.74
102.78636,-9.916667,1.74
101.79364,-9.916667,1.74
100.80091,-9.916667,1.74
99.808182,-9.916667,1.74
98.815453,-9.916667,1.74
97.822731,-9.916667,1.74
96.830002,-9.916667,1.74
95.837273,-9.916667,1.74
94.844543,-9.916667,1.74
93.851822,-9.916667,1.74
92.859093,-9.916667,1.74
91.866364,-9.916667,1.74
90.873634,-9.916667,1.74
89.880913,-9.916667,1.74
88.888184,-9.916667,1.74
87.895454,-9.916667,1.74
86.902725,-9.916667,1.74
106.75727,-10.908334,1.74
105.76455,-10.908334,1.74
104.77182,-10.908334,1.74
103.77909,-10.908334,1.74
102.78636,-10.908334,1.74
101.79364,-10.908334,1.74
100.80091,-10.908334,1.74
99.808182,-10.908334,1.74
98.815453,-10.908334,1.74
97.822731,-10.908334,1.74
96.830002,-10.908334,1.74
95.837273,-10.908334,1.74
94.844543,-10.908334,1.74
93.851822,-10.908334,1.74
92.859093,-10.908334,1.74
91.866364,-10.908334,1.74
90.873634,-10.908334,1.74
89.880913,-10.908334,1.74
88.888184,-10.908334,1.74
87.895454,-10.908334,1.74
86.902725,-10.908334,1.74
107.75,-11.9,1.74
106.75727,-11.9,1.74
105.76455,-11.9,1.74
104.77182,-11.9,1.74
103.77909,-11.9,1.74
102.78636,-11.9,1.74
101.79364,-11.9,1.74
100.80091,-11.9,1.74
99.808182,-11.9,1.74
98.815453,-11.9,1.74
97.822731,-11.9,1.74
96.830002,-11.9,1.74
95.837273,-11.9,1.74
94.844543,-11.9,1.74
93.851822,-11.9,1.74
92.859093,-11.9,1.74
91.866364,-11.9,1.74
90.873634,-11.9,1.74
89.880913,-11.9,1.74
88.888184,-11.9,1.74
87.895454,-11.9,1.74
86.902725,-11.9,1.74
107.75,0.74374998,1.74
107.75,1.4875,1.74
107.75,2.23125,1.74
107.75,2.9749999,1.74
107.75,3.71875,1.74
107.75,4.4625001,1.74
107.75,5.2062502,1.74
107.75,6.6937499,1.74
107.75,7.4375,1.74
107.75,8.1812496,1.74
107.75,8.9250002,1.74
107.75,9.6687498,1.74
107.75,10.4125,1.74
107.75,11.15625,1.74
107.75,11.9,1.74
88.094002,0,1.74
89.550003,0,1.74
90.278,0,1.74
96.830002,0,1.74
100.47,0,1.74
101.926,0,1.74
102.654,0,1.74
103.382,0,1.74
104.11,0,1.74
85.910004,11.15625,1.74
85.910004,10.4125,1.74
85.910004,9.6687498,1.74
85.910004,8.9250002,1.74
85.910004,8.1812496,1.74
85.910004,7.4375,1.74
85.910004,6.6937499,1.74
85.910004,5.2062502,1.74
85.910004,4.4625001,1.74
85.910004,3.71875,1.74
85.910004,2.23125,1.74
85.910004,1.4875,1.74
85.910004,0.74374998,1.74
106.75727,11.9,1.74
105.76455,11.9,1.74
104.77182,11.9,1.74
103.77909,11.9,1.74
102.78636,11.9,1.74
101.79364,11.9,1.74
100.80091,11.9,1.74
99.808182,11.9,1.74
98.815453,11.9,1.74
97.822731,11.9,1.74
96.830002,11.9,1.74
95.837273,11.9,1.74
94.844543,11.9,1.74
93.851822,11.9,1.74
92.859093,11.9,1.74
91.866364,11.9,1.74
90.873634,11.9,1.74
89.880913,11.9,1.74
88.888184,11.9,1.74
87.895454,11.9,1.74
86.902725,11.9,1.74
106.75727,10.908334,1.74
105.76455,10.908334,1.74
104.77182,10.908334,1.74
103.77909,10.908334,1.74
102.78636,10.908334,1.74
101.79364,10.908334,1.74
100.80091,10.908334,1.74
99.808182,10.908334,1.74
98.815453,10.908334,1.74
97.822731,10.908334,1.74
96.830002,10.908334,1.74
95.837273,10.908334,1.74
94.844543,10.908334,1.74
93.851822,10.908334,1.74
92.859093,10.908334,1.74
91.866364,10.908334,1.74
90.873634,10.908334,1.74
89.880913,10.908334,1.74
88.888184,10.908334,1.74
87.895454,10.908334,1.74
86.902725,10.908334,1.74
106.75727,9.916667,1.74
105.76455,9.916667,1.74
104.77182,9.916667,1.74
103.77909,9.916667,1.74
102.78636,9.916667,1.74
101.79364,9.916667,1.74
100.80091,9.916667,1.74
99.808182,9.916667,1.74
98.815453,9.916667,1.74
97.822731,9.916667,1.74
96.830002,9.916667,1.74
95.837273,9.916667,1.74
94.844543,9.916667,1.74
93.851822,9.916667,1.74
92.859093,9.916667,1.74
91.866364,9.916667,1.74
90.873634,9.916667,1.74
89.880913,9.916667,1.74
88.888184,9.916667,1.74
87.895454,9.916667,1.74
86.902725,9.916667,1.74
106.75727,8.9250002,1.74
105.76455,8.9250002,1.74
104.77182,8.9250002,1.74
103.77909,8.9250002,1.74
102.78636,8.9250002,1.74
101.79364,8.9250002,1.74
100.80091,8.9250002,1.74
